country,asn,description,num_ipv6s
AT,679,"All AS from AT - TUNET-AS - Technische Universitat Wien, AT",4294967296
AT,1120,"All AS from AT - ACOnet_Services - ACONET, AT",131072
AT,1205,"All AS from AT - JKU-LINZ-AS - University Linz, AT",65536
AT,1764,"All AS from AT - NEXTLAYER-AS - Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH, AT",244813332480
AT,1853,"All AS from AT - ACOnet, AT",34359803904
AT,1921,"All AS from AT - RCODEZERO-ANYCAST-SEC1-TLD - ipcom GmbH, AT",1048576
AT,2488,"All AS from AT - IIASA-NET - International Institute for Applied Systems Analysis, AT",65536
AT,2494,"All AS from AT - MUWNET - MUWNET Autonomous System, AT",65536
AT,3190,"All AS from AT - DREI-S-AS - 3-S-IT Dienstleistungen GmbH, AT",4294967296
AT,3330,"All AS from AT - PROFINET-AT - eww ag, AT",8590065664
AT,5385,"All AS from AT - RUSSMEDIA-IT - Russmedia IT GmbH, AT",8589934592
AT,5403,"All AS from AT - AS5403 - APA-IT Informations Technologie G.m.b.H, AT",34359738368
AT,5404,"All AS from AT - conova-as - conova communications GmbH, AT",4294967296
AT,6720,"All AS from AT - MAGWIEN - Magistrat der Stadt Wien, Magistratsabteilung 01, AT",327680
AT,6798,"All AS from AT - NET4YOU-AS - Net4You Internet GmbH, AT",4294967296
AT,6883,"All AS from AT - Parlamentsdirektion, AT",4294967296
AT,8245,"All AS from AT - VIDEOBROADCAST-AS - Video-Broadcast GmbH, AT",4294967296
AT,8339,"All AS from AT - KABSI-AS - kabelplus GmbH, AT",21474902016
AT,8387,"All AS from AT - T-SYSTEMS-AT - Deutsche Telekom Global Business Solutions GmbH, AT",38654771200
AT,8412,"All AS from AT - TMA - T-Mobile Austria GmbH, AT",94489280512
AT,8437,"All AS from AT - UTA-AS - Hutchison Drei Austria GmbH, AT",12884901888
AT,8445,"All AS from AT - SALZBURG-AG-AS - SALZBURG AG fur Energie, Verkehr und Telekommunikation, AT",4295032832
AT,8447,"All AS from AT - A1TELEKOM-AT - A1 Telekom Austria AG, AT",137439412224
AT,8540,"All AS from AT - AMANET-AS - AMA netwoRX GmbH, AT",103079215104
AT,8562,"All AS from AT - LICPLUS-AS - A1 Telekom Austria AG, AT",1073741824
AT,8596,"All AS from AT - HOTZE-AS - hotze.com GmbH, AT",4294967296
AT,8666,"All AS from AT - FIBERLINK-AS - FiberLink GmbH, AT",262144
AT,8692,"All AS from AT - BRZ - Bundesrechenzentrum GmbH, AT",4294967296
AT,8787,"All AS from AT - AMARISTECH - Amaris Technologies GmbH, AT",4294967296
AT,9023,"All AS from AT - LOTTERIEN-AS - Oesterreichische Lotterien GmbH, AT",65536
